ensembl,FC,padj,gene
ENSG00000228434.1,-0.923210767,0.499162697,AC004951.1
ENSG00000146094.14,-0.923057549,0.501478132,DOK3
ENSG00000175573.7,-0.922523615,5.92E-06,C11orf68
ENSG00000143569.19,-0.921940831,1.29E-47,UBAP2L
ENSG00000113593.12,-0.921827227,1.35E-06,PPWD1
ENSG00000095319.14,-0.921642246,3.31E-24,NUP188
ENSG00000148655.15,-0.920993959,2.89E-05,LRMDA
ENSG00000124422.12,-0.920759044,1.81E-150,USP22
ENSG00000124613.8,-0.92027541,0.465343494,ZNF391
ENSG00000177150.13,-0.920103895,2.91E-19,FAM210A
ENSG00000149308.17,-0.919919763,3.60E-09,NPAT
ENSG00000204344.14,-0.919657699,0.039412163,STK19
ENSG00000108511.10,-0.919329739,0.030909543,HOXB6
ENSG00000264207.1,-0.918826221,0.51631993,AC239868.1
ENSG00000263917.1,-0.917998966,0.766710095,AC011825.3
ENSG00000163930.10,-0.917181524,7.28E-19,BAP1
ENSG00000204469.13,-0.91711844,3.12E-56,PRRC2A
ENSG00000090487.11,-0.916746199,4.72E-22,SPG21
ENSG00000140691.16,-0.916100334,0.001150746,ARMC5
ENSG00000100116.16,-0.916075101,1.47E-19,GCAT
ENSG00000146038.12,-0.915886707,0.045995434,DCDC2
ENSG00000249471.8,-0.915886707,0.045995434,ZNF324B
ENSG00000077498.9,-0.915680133,1.29E-89,TYR
ENSG00000130723.20,-0.915646096,6.62E-59,PRRC2B
ENSG00000175029.17,-0.915154339,7.71E-24,CTBP2
ENSG00000112983.17,-0.914918771,4.67E-11,BRD8
ENSG00000075914.13,-0.914712177,7.49E-07,EXOSC7
ENSG00000175203.15,-0.914521488,3.16E-22,DCTN2
ENSG00000100075.10,-0.91449987,1.19E-29,SLC25A1
ENSG00000198746.13,-0.914344545,2.30E-07,GPATCH3
ENSG00000189362.12,-0.914290381,3.44E-07,NEMP2
ENSG00000260526.1,-0.913453257,0.470596966,AC109347.1
ENSG00000188825.14,-0.91337625,0.191794664,LINC00910
ENSG00000156873.16,-0.913027999,0.000198503,PHKG2
ENSG00000114547.10,-0.91223206,8.99E-05,ROPN1B
ENSG00000061676.15,-0.911616148,8.17E-66,NCKAP1
ENSG00000170540.15,-0.911580675,1.08E-38,ARL6IP1
ENSG00000164199.18,-0.91120403,0.101759939,ADGRV1
ENSG00000158458.20,-0.910849505,0.002886041,NRG2
ENSG00000055130.17,-0.910770544,2.32E-21,CUL1
ENSG00000141376.22,-0.910531521,7.86E-06,BCAS3
ENSG00000270580.5,-0.910297986,0.498325996,AC139256.2
ENSG00000165494.11,-0.910265832,6.95E-11,PCF11
ENSG00000131116.12,-0.910135106,2.20E-05,ZNF428
ENSG00000266835.6,-0.909912675,0.159999489,GAPLINC
ENSG00000124562.10,-0.909908535,6.73E-16,SNRPC
ENSG00000170581.14,-0.909610582,4.95E-09,STAT2
ENSG00000087088.20,-0.909471067,1.62E-08,BAX
ENSG00000270136.6,-0.909181262,0.000422345,MICOS10-NBL1
ENSG00000130638.17,-0.908870601,4.57E-37,ATXN10
ENSG00000106785.15,-0.908716176,7.16E-06,TRIM14
ENSG00000157617.17,-0.907724295,1.97E-11,C2CD2
ENSG00000157796.18,-0.907120961,0.001464052,WDR19
ENSG00000160131.13,-0.906813578,8.45E-23,VMA21
ENSG00000133943.20,-0.906463613,0.021237786,DGLUCY
ENSG00000255182.2,-0.905774379,0.447919689,AC084125.2
ENSG00000160877.6,-0.905512277,3.94E-22,NACC1
ENSG00000117751.18,-0.90517617,3.84E-13,PPP1R8
ENSG00000262879.6,-0.904628482,2.48E-12,AC005670.3
ENSG00000183527.12,-0.904487686,1.25E-16,PSMG1
ENSG00000185973.11,-0.90423404,8.25E-10,TMLHE
ENSG00000102898.12,-0.904020994,6.22E-19,NUTF2
ENSG00000157653.11,-0.902551741,0.422606141,C9orf43
ENSG00000135521.9,-0.902458965,1.15E-12,LTV1
ENSG00000248265.2,-0.902367332,0.46678246,AC023794.1
ENSG00000197343.11,-0.901622361,6.47E-12,ZNF655
ENSG00000244045.13,-0.901351379,7.21E-07,TMEM199
ENSG00000232112.3,-0.901245235,8.20E-20,TMA7
ENSG00000100632.11,-0.901228562,2.26E-22,ERH
ENSG00000277476.1,-0.900203899,0.430542899,AC005332.5
ENSG00000259845.1,-0.899948977,0.422019639,HERC2P10
ENSG00000230555.2,-0.899908715,0.23723696,AL450326.1
ENSG00000136521.13,-0.89980783,8.89E-17,NDUFB5
ENSG00000167395.10,-0.899714717,0.000184333,ZNF646
ENSG00000198960.11,-0.899337731,5.00E-05,ARMCX6
ENSG00000204392.11,-0.898802888,3.90E-08,LSM2
ENSG00000175216.15,-0.898612947,9.20E-34,CKAP5
ENSG00000198894.8,-0.898146444,8.91E-09,CIPC
ENSG00000100575.14,-0.897945702,0.000101433,TIMM9
ENSG00000165526.9,-0.897792983,8.25E-07,RPUSD4
ENSG00000066382.16,-0.897100104,0.049880502,MPPED2
ENSG00000110237.5,-0.896815996,1.01E-17,ARHGEF17
ENSG00000173226.17,-0.896552076,2.62E-15,IQCB1
ENSG00000010322.16,-0.896125672,5.30E-08,NISCH
ENSG00000138758.11,-0.89590616,4.94E-58,SEPTIN11
ENSG00000120662.16,-0.894873252,0.041269017,MTRF1
ENSG00000186889.10,-0.893921981,0.038377969,TMEM17
ENSG00000213782.7,-0.893815517,5.31E-14,DDX47
ENSG00000169714.16,-0.893644756,4.16E-69,CNBP
ENSG00000205336.12,-0.893401885,2.24E-100,ADGRG1
ENSG00000108592.17,-0.892962173,3.20E-27,FTSJ3
ENSG00000011260.14,-0.892680304,8.41E-30,UTP18
ENSG00000135316.18,-0.892654151,9.93E-47,SYNCRIP
ENSG00000108506.12,-0.892533752,8.90E-07,INTS2
ENSG00000081138.14,-0.89240644,0.037043745,CDH7
ENSG00000174775.17,-0.89192209,1.77E-09,HRAS
ENSG00000007174.18,-0.891850955,0.0010855,DNAH9
ENSG00000137817.17,-0.891188474,0.000652221,PARP6
ENSG00000107949.17,-0.891151798,1.20E-14,BCCIP
ENSG00000166004.15,-0.891098009,0.000333432,CEP295
ENSG00000163811.12,-0.89100213,1.95E-26,WDR43
ENSG00000148719.15,-0.890866354,2.46E-09,DNAJB12
ENSG00000166855.9,-0.890755355,1.22E-14,CLPX
ENSG00000163364.10,-0.890346023,0.000841167,LINC01116
ENSG00000197774.13,-0.890225828,0.211406162,EME2
ENSG00000114019.14,-0.890212481,1.18E-05,AMOTL2
ENSG00000144840.9,-0.890154225,0.000740999,RABL3
ENSG00000106211.9,-0.890056015,1.30E-55,HSPB1
ENSG00000168924.15,-0.889345225,2.23E-16,LETM1
ENSG00000267270.6,-0.889214173,0.372330753,PARD6G-AS1
ENSG00000156875.14,-0.889029898,6.28E-13,MFSD14A
ENSG00000072135.13,-0.888744012,9.35E-09,PTPN18
ENSG00000159259.8,-0.888477801,7.02E-07,CHAF1B
ENSG00000162144.9,-0.888033952,2.97E-23,CYB561A3
ENSG00000126254.12,-0.887860764,4.27E-17,RBM42
ENSG00000259431.6,-0.88776699,0.000122714,THTPA
ENSG00000183431.12,-0.887720461,6.55E-44,SF3A3
ENSG00000121005.9,-0.887057462,8.60E-07,CRISPLD1
ENSG00000087365.16,-0.886970488,2.62E-51,SF3B2
ENSG00000138085.16,-0.886501474,3.01E-18,ATRAID
ENSG00000160613.13,-0.886429089,3.78E-08,PCSK7
ENSG00000280071.4,-0.886183754,3.33E-14,GATD3B
ENSG00000083812.12,-0.886068996,0.000814309,ZNF324
ENSG00000225265.2,-0.886048144,0.387599474,TAF1A-AS1
ENSG00000272913.1,-0.88574889,0.024537426,AC009237.14
ENSG00000120913.23,-0.885567254,3.62E-06,PDLIM2
ENSG00000181090.21,-0.885462054,5.11E-09,EHMT1
ENSG00000227258.6,-0.885417168,0.266438786,SMIM2-AS1
ENSG00000153574.9,-0.88511387,1.13E-08,RPIA
ENSG00000198876.13,-0.88455804,3.10E-11,DCAF12
ENSG00000132664.12,-0.884349265,0.032637513,POLR3F
ENSG00000171169.9,-0.883997538,0.014867256,NAIF1
ENSG00000221838.10,-0.883971119,0.000131682,AP4M1
ENSG00000141447.18,-0.883964157,4.89E-18,OSBPL1A
ENSG00000000003.15,-0.883241274,1.25E-07,TSPAN6
ENSG00000162300.13,-0.883203321,1.85E-05,ZFPL1
ENSG00000092758.18,-0.882316774,4.90E-47,COL9A3
ENSG00000187147.18,-0.881788927,4.20E-12,RNF220
ENSG00000127616.18,-0.881642958,2.12E-40,SMARCA4
ENSG00000105072.9,-0.881303011,0.036732035,C19orf44
ENSG00000139719.11,-0.88127378,1.09E-07,VPS33A
ENSG00000274712.1,-0.881270238,0.04523866,AC005332.4
ENSG00000103423.14,-0.880990466,3.36E-19,DNAJA3
ENSG00000146007.11,-0.880963166,3.03E-16,ZMAT2
ENSG00000163923.10,-0.880775335,5.68E-08,RPL39L
ENSG00000245556.3,-0.88037945,0.083241414,SCAMP1-AS1
ENSG00000160959.8,-0.880304023,5.03E-10,LRRC14
ENSG00000169231.13,-0.879694072,0.072432187,THBS3
ENSG00000163840.10,-0.879086363,3.93E-15,DTX3L
ENSG00000141519.15,-0.878810297,0.386027139,CCDC40
ENSG00000256673.1,-0.878186261,0.350431003,AC141557.1
ENSG00000137558.9,-0.878007065,1.08E-22,PI15
ENSG00000125652.8,-0.877976719,2.92E-08,ALKBH7
ENSG00000137547.9,-0.877953798,6.75E-16,MRPL15
ENSG00000026103.22,-0.877928536,0.030679547,FAS
ENSG00000025770.19,-0.877877413,4.31E-20,NCAPH2
ENSG00000137815.14,-0.877568528,5.98E-16,RTF1
ENSG00000174365.20,-0.877479575,0.016183011,SNHG11
ENSG00000138380.18,-0.876844697,0.028551533,CARF
ENSG00000111652.10,-0.876790021,1.46E-19,COPS7A
ENSG00000228782.7,-0.876244653,0.138637526,MRPL45P2
ENSG00000248333.8,-0.8762251,1.46E-12,CDK11B
ENSG00000184164.14,-0.875980031,7.39E-19,CRELD2
ENSG00000225484.7,-0.875572206,0.000427181,NUTM2B-AS1
ENSG00000136161.12,-0.875549051,0.001459519,RCBTB2
ENSG00000150316.12,-0.875468064,2.70E-08,CWC15
ENSG00000247400.4,-0.874790875,0.13917168,DNAJC3-DT
ENSG00000162437.14,-0.874196549,2.94E-11,RAVER2
ENSG00000137161.17,-0.874191658,3.65E-13,CNPY3
ENSG00000176087.15,-0.873773855,8.64E-24,SLC35A4
ENSG00000169696.16,-0.873741661,9.42E-08,ASPSCR1
ENSG00000129691.16,-0.873467332,2.17E-18,ASH2L
ENSG00000118197.14,-0.872818268,0.0015132,DDX59
ENSG00000115561.16,-0.872776741,1.94E-23,CHMP3
ENSG00000185737.13,-0.872136494,1.09E-11,NRG3
ENSG00000116663.11,-0.871543332,0.003604314,FBXO6
ENSG00000004139.14,-0.869558711,1.06E-11,SARM1
ENSG00000105619.13,-0.868956405,3.24E-08,TFPT
ENSG00000228300.14,-0.868834933,2.59E-12,FAM174C
ENSG00000137496.18,-0.868626076,0.333790808,IL18BP
ENSG00000168005.9,-0.868445928,2.28E-05,SPINDOC
ENSG00000100412.16,-0.868196888,2.88E-49,ACO2
ENSG00000105429.13,-0.868115802,2.36E-37,MEGF8
ENSG00000114166.8,-0.867640592,7.85E-09,KAT2B
ENSG00000119408.16,-0.867596948,6.81E-13,NEK6
ENSG00000108947.5,-0.867142934,1.69E-10,EFNB3
ENSG00000140577.16,-0.866769657,1.31E-09,CRTC3
ENSG00000224318.6,-0.86675821,0.25465064,CHL1-AS2
ENSG00000139133.7,-0.866495944,0.033324039,ALG10
ENSG00000151364.17,-0.866392387,0.105984887,KCTD14
ENSG00000152495.11,-0.866377629,2.45E-16,CAMK4
ENSG00000180425.11,-0.866336159,0.00461932,C11orf71
ENSG00000117592.9,-0.865844239,4.62E-39,PRDX6
ENSG00000157870.16,-0.865722417,1.86E-20,PRXL2B
ENSG00000182180.14,-0.86545332,3.03E-17,MRPS16
ENSG00000255857.6,-0.865448633,0.251537643,PXN-AS1
ENSG00000169951.9,-0.864761699,0.085638339,ZNF764
ENSG00000259856.1,-0.864580306,0.310674756,RAB43P1
ENSG00000160360.13,-0.864441976,7.71E-08,GPSM1
ENSG00000112514.16,-0.864250771,6.60E-18,CUTA
ENSG00000147202.18,-0.864247033,0.001096159,DIAPH2
ENSG00000128915.12,-0.863635608,2.12E-10,ICE2
ENSG00000186687.16,-0.863377273,1.63E-07,LYRM7
ENSG00000119333.11,-0.86336598,3.49E-10,WDR34
ENSG00000174903.16,-0.863290184,4.69E-37,RAB1B
ENSG00000139679.15,-0.862985255,0.026598469,LPAR6
ENSG00000213096.10,-0.862436127,0.012507998,ZNF254
ENSG00000114902.14,-0.86136311,5.89E-18,SPCS1
ENSG00000159692.15,-0.860931245,5.43E-18,CTBP1
ENSG00000138448.12,-0.860119765,3.37E-46,ITGAV
ENSG00000149577.16,-0.859731143,3.94E-05,SIDT2
ENSG00000049449.9,-0.85951421,7.72E-35,RCN1
ENSG00000273270.1,-0.859023703,0.062913138,AC090114.2
ENSG00000138696.11,-0.858645854,0.000421223,BMPR1B
ENSG00000107611.15,-0.858377875,0.0023528,CUBN
ENSG00000105373.19,-0.857753062,3.45E-40,NOP53
ENSG00000215421.9,-0.856827138,0.000268857,ZNF407
ENSG00000105447.13,-0.856651105,7.81E-14,GRWD1
ENSG00000178252.18,-0.855909037,3.51E-21,WDR6
ENSG00000176410.8,-0.855704134,3.56E-05,DNAJC30
ENSG00000180694.14,-0.855447533,1.08E-25,TMEM64
ENSG00000065029.15,-0.854771575,0.000517443,ZNF76
ENSG00000179958.9,-0.854762327,7.22E-12,DCTPP1
ENSG00000285292.1,-0.854513845,3.95E-11,ABCF2
ENSG00000152082.14,-0.853963875,8.78E-24,MZT2B
ENSG00000100401.19,-0.853712049,7.06E-45,RANGAP1
ENSG00000101193.8,-0.853689998,7.17E-19,GID8
ENSG00000101400.5,-0.853598909,1.12E-08,SNTA1
ENSG00000243667.7,-0.853575621,0.002415972,WDR92
ENSG00000076650.7,-0.853169777,0.008729655,GPATCH1
ENSG00000148803.12,-0.851267907,0.02613924,FUOM
ENSG00000140382.15,-0.850916143,1.69E-14,HMG20A
ENSG00000168286.3,-0.849988524,1.73E-08,THAP11
ENSG00000243199.1,-0.84994407,0.189254375,AC115223.1
ENSG00000123144.11,-0.849740691,3.64E-20,TRIR
ENSG00000172943.19,-0.84939663,2.08E-06,PHF8
ENSG00000160803.8,-0.849069418,2.74E-10,UBQLN4
ENSG00000198176.13,-0.848626079,3.41E-28,TFDP1
ENSG00000065243.20,-0.848201788,2.86E-17,PKN2
ENSG00000163832.16,-0.84810498,9.39E-07,ELP6
ENSG00000137872.16,-0.847868362,0.001504374,SEMA6D
ENSG00000131467.11,-0.847821686,1.81E-24,PSME3
ENSG00000159147.18,-0.847674327,1.98E-06,DONSON
ENSG00000204084.13,-0.847047075,1.85E-05,INPP5B
ENSG00000187522.16,-0.846669521,0.001207629,HSPA14
ENSG00000162191.13,-0.846574935,4.50E-17,UBXN1
ENSG00000148187.18,-0.846445887,4.17E-05,MRRF
ENSG00000145337.5,-0.846375639,1.73E-17,PYURF
ENSG00000235437.8,-0.846154409,0.001001894,LINC01278
ENSG00000163104.17,-0.846066432,2.04E-09,SMARCAD1
ENSG00000276600.5,-0.845677153,0.057083184,RAB7B
ENSG00000146067.16,-0.845607168,0.014679558,FAM193B
ENSG00000106610.15,-0.845514295,0.010801022,STAG3L4
ENSG00000120049.19,-0.845375928,0.096134542,KCNIP2
ENSG00000133265.11,-0.845043229,1.87E-11,HSPBP1
ENSG00000224592.5,-0.84486008,0.612806416,MIR3659HG
ENSG00000101191.16,-0.844349756,9.20E-19,DIDO1
ENSG00000170175.11,-0.844313032,0.052971116,CHRNB1
ENSG00000087076.9,-0.84424062,2.86E-06,HSD17B14
ENSG00000244363.3,-0.844077752,0.635092754,RPL7P23
ENSG00000230337.1,-0.844021708,0.667191245,EXOSC10-AS1
ENSG00000204176.14,-0.843943078,0.636100061,SYT15
ENSG00000203780.10,-0.843672197,0.704223468,FANK1
ENSG00000267314.1,-0.843561897,0.667357672,AC104532.1
ENSG00000249167.2,-0.843557342,0.672413953,SEMA6A-AS2
ENSG00000171291.8,-0.843261003,0.702509215,ZNF439
ENSG00000104408.10,-0.843182173,2.87E-98,EIF3E
ENSG00000162613.16,-0.843157894,2.47E-19,FUBP1
ENSG00000238118.1,-0.843135223,0.711490381,SLC25A24P2
ENSG00000141027.21,-0.842767021,2.68E-28,NCOR1
ENSG00000279672.1,-0.842633382,0.74959734,AP006621.5
ENSG00000215910.7,-0.842633382,0.74959734,C1orf167
ENSG00000223529.1,-0.842633382,0.74959734,EEF1A1P8
ENSG00000231561.2,-0.842633382,0.74959734,CEACAMP5
ENSG00000233673.7,-0.842633382,0.74959734,ANAPC1P1
ENSG00000285837.1,-0.842633382,0.74959734,AC024598.1
ENSG00000164978.18,-0.842520238,0.003653171,NUDT2
ENSG00000247373.3,-0.842396617,0.752835638,TMED2-DT
ENSG00000162599.17,-0.842092118,0.000121419,NFIA
ENSG00000114520.11,-0.84183601,2.45E-09,SNX4
ENSG00000111300.10,-0.841322483,9.11E-09,NAA25
ENSG00000171202.7,-0.841045664,8.14E-05,TMEM126A
ENSG00000126001.16,-0.840956875,1.82E-11,CEP250
ENSG00000269955.2,-0.840827199,5.03E-11,FMC1-LUC7L2
ENSG00000108587.15,-0.840227634,5.36E-09,GOSR1
ENSG00000143409.15,-0.839915124,0.021421648,MINDY1
ENSG00000002549.12,-0.839589727,6.28E-17,LAP3
ENSG00000072849.11,-0.839573823,1.12E-10,DERL2
ENSG00000250497.1,-0.837918181,0.619216414,AC007126.1
ENSG00000259929.5,-0.837705139,0.618030528,AC010601.1
ENSG00000180900.19,-0.836892504,5.87E-39,SCRIB
ENSG00000260167.1,-0.836432533,0.652563729,AC093249.2
ENSG00000279092.1,-0.836355449,0.527090271,AC025678.3
ENSG00000008282.8,-0.83628172,3.26E-29,SYPL1
ENSG00000224308.1,-0.835990583,0.652729959,LINC01527
ENSG00000279765.3,-0.835883335,0.657000218,AC013394.1
ENSG00000135999.12,-0.8357459,9.46E-09,EPC2
ENSG00000250305.9,-0.835314691,0.006626394,TRMT9B
ENSG00000165804.16,-0.834858137,0.000368815,ZNF219
ENSG00000092051.17,-0.834604325,0.002582797,JPH4
ENSG00000103510.20,-0.834437038,0.003758282,KAT8
ENSG00000240087.3,-0.834395614,0.818750431,RPSAP12
ENSG00000227008.2,-0.834395614,0.818750431,AL009174.1
ENSG00000232587.1,-0.834395614,0.818750431,EEF1A1P3
ENSG00000213885.4,-0.834395614,0.818750431,RPL13AP7
ENSG00000236814.1,-0.834395614,0.818750431,AC046176.1
ENSG00000235489.4,-0.834395614,0.818750431,DBF4P1
ENSG00000104848.1,-0.834395614,0.818750431,KCNA7
ENSG00000205871.5,-0.834395614,0.818750431,RPS3AP47
ENSG00000212789.4,-0.834395614,0.818750431,ST13P5
ENSG00000213613.2,-0.834395614,0.818750431,RPL11P3
ENSG00000214832.5,-0.834395614,0.818750431,UPF3AP2
ENSG00000235554.1,-0.834395614,0.818750431,AC005822.1
ENSG00000133884.10,-0.834381637,7.61E-10,DPF2
ENSG00000246877.1,-0.834378341,0.583357933,DNM1P35
ENSG00000240429.1,-0.834148836,0.693936469,LRRFIP1P1
ENSG00000213366.13,-0.834148836,0.693936469,GSTM2
ENSG00000134256.12,-0.834148836,0.693936469,CD101
ENSG00000154269.15,-0.834148836,0.693936469,ENPP3
ENSG00000157322.17,-0.834148836,0.693936469,CLEC18A
ENSG00000226053.1,-0.834148836,0.693936469,LINC01776
ENSG00000280739.3,-0.834036772,0.428322657,EIF1B-AS1
ENSG00000147316.13,-0.834032162,8.54E-06,MCPH1
ENSG00000196388.8,-0.833991741,0.496730355,INCA1
ENSG00000204695.4,-0.833823271,0.692194667,OR14J1
ENSG00000259205.2,-0.833823271,0.692194667,PRKXP1
ENSG00000167671.12,-0.833600155,8.02E-16,UBXN6
ENSG00000277383.1,-0.833570101,0.694031662,AC010331.1
ENSG00000185837.3,-0.833570101,0.694031662,HDHD5-AS1
ENSG00000272030.1,-0.833570101,0.694031662,AL162258.2
ENSG00000127585.12,-0.833158601,6.02E-11,FBXL16
ENSG00000287569.1,-0.833054823,0.452193084,AL078587.2
ENSG00000101888.11,-0.832559348,0.029332133,NXT2
ENSG00000217325.2,-0.832366004,0.613944689,PRELID1P1
ENSG00000271843.1,-0.832178293,0.612758895,AC012557.1
ENSG00000230148.8,-0.831644994,0.426925927,HOXB-AS1
ENSG00000158195.11,-0.831589777,1.48E-47,WASF2
ENSG00000221990.4,-0.831461717,0.00167007,EXOC3-AS1
ENSG00000143294.15,-0.831146675,5.31E-11,PRCC
ENSG00000183891.6,-0.831100415,0.082932247,TTC32
ENSG00000185522.9,-0.830917459,0.446010754,LMNTD2
ENSG00000188566.13,-0.830575248,0.012030833,NDOR1
ENSG00000103356.15,-0.8304214,1.89E-08,EARS2
ENSG00000214784.4,-0.830402538,0.75974143,AC010468.1
ENSG00000239569.3,-0.830310698,0.332226195,KMT2E-AS1
ENSG00000204410.15,-0.830299298,0.147877779,MSH5
ENSG00000196470.12,-0.83028309,9.26E-05,SIAH1
ENSG00000111361.13,-0.8301718,1.59E-09,EIF2B1
ENSG00000162878.13,-0.830134323,0.303099331,PKDCC
ENSG00000258461.5,-0.829962508,0.487518854,AC012651.1
ENSG00000135926.15,-0.829959268,9.94E-27,TMBIM1
ENSG00000284948.1,-0.829957452,0.655719462,AC107959.4
ENSG00000233750.3,-0.829951759,0.745736196,CICP27
ENSG00000126453.9,-0.829943456,0.00010505,BCL2L12
ENSG00000102313.9,-0.829846016,0.011453373,ITIH6
ENSG00000100038.19,-0.829814833,4.60E-05,TOP3B
ENSG00000264964.2,-0.829810336,0.58258516,AP001033.1
ENSG00000231256.8,-0.829530274,0.742880043,CFAP97D1
ENSG00000285877.1,-0.829530274,0.742880043,AC007448.5
ENSG00000279799.1,-0.829530274,0.742880043,AC006077.2
ENSG00000047457.14,-0.829530274,0.742880043,CP
ENSG00000197258.5,-0.829530274,0.742880043,EIF4BP6
ENSG00000257252.6,-0.829530274,0.742880043,AC124947.1
ENSG00000264595.1,-0.829530274,0.742880043,AC103808.2
ENSG00000286849.1,-0.829530274,0.742880043,AC009152.6
ENSG00000185345.21,-0.829476499,0.262529988,PRKN
ENSG00000213199.8,-0.829367773,0.579483076,ASIC3
ENSG00000172586.8,-0.829348607,6.36E-05,CHCHD1
ENSG00000260193.1,-0.829300164,0.650992579,LINC02846
ENSG00000227855.3,-0.829300164,0.650992579,DPY19L2P3
ENSG00000272572.1,-0.829300164,0.650992579,AL138762.1
ENSG00000107262.23,-0.829283265,4.36E-06,BAG1
ENSG00000163156.11,-0.829254492,0.000119214,SCNM1
ENSG00000204370.12,-0.829195277,1.71E-14,SDHD
ENSG00000168101.14,-0.829153662,9.29E-06,NUDT16L1
ENSG00000164845.16,-0.829101917,0.745982633,FAM86FP
ENSG00000287839.1,-0.82907192,0.655895524,AL353807.5
ENSG00000257139.1,-0.82907192,0.655895524,LINC02821
ENSG00000111801.16,-0.828957141,0.103868604,BTN3A3
ENSG00000241506.1,-0.828424004,4.12E-07,PSMC1P1
ENSG00000268790.5,-0.828273913,0.089571096,AC008764.4
ENSG00000099817.12,-0.828268987,9.86E-35,POLR2E
ENSG00000270419.1,-0.828103564,0.495543357,CAHM
ENSG00000177565.16,-0.827876378,1.69E-18,TBL1XR1
ENSG00000171791.13,-0.827433538,5.10E-06,BCL2
ENSG00000176542.10,-0.827379942,5.23E-05,USF3
ENSG00000270175.1,-0.827020147,0.61623544,AC023509.3
ENSG00000058600.16,-0.826863366,7.40E-07,POLR3E
ENSG00000187796.14,-0.826856543,0.614928543,CARD9
ENSG00000224281.5,-0.826856543,0.614928543,SLC25A5-AS1
ENSG00000108578.15,-0.826842551,2.23E-13,BLMH
ENSG00000270127.2,-0.826666847,0.616332228,AC027020.2
ENSG00000104883.8,-0.826586803,0.473954937,PEX11G
ENSG00000071889.16,-0.826526177,1.80E-11,FAM3A
ENSG00000136270.14,-0.826038619,6.82E-22,TBRG4
ENSG00000243554.1,-0.825877304,0.360435875,AC004967.1
ENSG00000103852.13,-0.82563045,0.000213575,TTC23
ENSG00000005700.15,-0.825609377,6.77E-12,IBTK
ENSG00000160345.13,-0.825584217,0.453294478,C9orf116
ENSG00000243978.8,-0.825225179,0.694697998,RTL9
ENSG00000239883.8,-0.825225179,0.694697998,PARGP1
ENSG00000269044.2,-0.825143051,0.584203726,AC024075.2
ENSG00000197061.4,-0.825023336,0.342435872,HIST1H4C
ENSG00000240057.6,-0.824895924,0.696495734,AC078785.1
ENSG00000249669.10,-0.824895924,0.696495734,CARMN
ENSG00000250791.2,-0.824895924,0.696495734,AC106892.1
ENSG00000196998.19,-0.824736021,6.47E-07,WDR45
ENSG00000223843.5,-0.824459532,0.702871465,EFCAB6-AS1
ENSG00000132661.4,-0.824313233,1.31E-06,NXT1
ENSG00000111605.18,-0.82417973,2.10E-18,CPSF6
ENSG00000099385.11,-0.824163739,8.39E-06,BCL7C
ENSG00000124177.15,-0.824007375,9.62E-18,CHD6
ENSG00000258711.2,-0.823638391,0.556897518,AL358334.2
ENSG00000198837.10,-0.82347288,2.06E-07,DENND4B
ENSG00000144366.16,-0.823411908,7.78E-08,GULP1
ENSG00000151465.14,-0.823328115,5.11E-18,CDC123
ENSG00000279068.1,-0.823139013,0.671702613,AC244517.6
ENSG00000265494.1,-0.8230464,0.657000218,AC005304.2
ENSG00000104814.13,-0.822723258,0.535715773,MAP4K1
ENSG00000238286.1,-0.822604215,0.65716659,SLC35E1P1
ENSG00000164308.16,-0.82245401,0.442274622,ERAP2
ENSG00000185122.11,-0.822344212,1.20E-21,HSF1
ENSG00000279265.1,-0.822251923,0.662142059,AC000123.2
ENSG00000168591.16,-0.822036335,3.46E-05,TMUB2
ENSG00000171532.5,-0.821833603,0.515326164,NEUROD2
ENSG00000196465.10,-0.821617929,4.07E-09,MYL6B
ENSG00000235078.1,-0.821542984,0.629419625,AC231981.1
ENSG00000250999.2,-0.821324991,0.624821759,AC136604.3
ENSG00000228929.1,-0.821225759,0.821142081,RPS13P2
ENSG00000243517.1,-0.821225759,0.821142081,AC024940.3
ENSG00000285990.1,-0.821225759,0.821142081,AL589743.7
ENSG00000205643.11,-0.821134639,0.013712475,CDPF1
ENSG00000132341.12,-0.820363789,8.62E-98,RAN
ENSG00000065150.21,-0.820293613,1.93E-61,IPO5
ENSG00000103150.7,-0.819408351,0.001712453,MLYCD
ENSG00000172775.17,-0.81933883,3.82E-09,FAM192A
ENSG00000091732.16,-0.818720712,2.04E-06,ZC3HC1
ENSG00000103047.8,-0.818511913,7.25E-06,TANGO6
ENSG00000237441.10,-0.818101467,8.41E-08,RGL2
ENSG00000151923.17,-0.817818508,1.09E-12,TIAL1
ENSG00000118600.12,-0.817526592,1.26E-08,RXYLT1
ENSG00000170923.3,-0.81667736,0.75947578,OR7G2
ENSG00000101811.13,-0.816586162,0.000406439,CSTF2
ENSG00000114439.19,-0.816509165,3.78E-20,BBX
ENSG00000231871.5,-0.816444317,0.757029811,IPO9-AS1
ENSG00000215866.8,-0.816444317,0.757029811,LINC01356
ENSG00000175886.10,-0.816444317,0.757029811,RPL7AP66
ENSG00000238103.4,-0.816444317,0.757029811,RPL9P7
ENSG00000246308.2,-0.815795997,0.759708052,AC116535.1
ENSG00000184068.2,-0.815794057,0.711537092,SREBF2-AS1
ENSG00000235711.4,-0.815794057,0.711537092,ANKRD34C
ENSG00000143702.16,-0.815567596,1.08E-21,CEP170
ENSG00000130726.12,-0.815464728,7.26E-106,TRIM28
